,Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Unnamed: 14
0,SL Malinga (SL),2006-2019,79,79,284.5,1,2061,106,5/6,19.44,7.23,16.1,1,2,
1,Shahid Afridi (ICC/PAK),2006-2018,99,97,361.2,4,2396,98,4/11,24.44,6.63,22.1,3,0,
2,Shakib Al Hasan (BDESH),2006-2019,76,75,277.5,2,1894,92,5/20,20.58,6.81,18.1,3,1,
3,Saeed Ajmal (PAK),2009-2015,64,63,238.2,2,1516,85,4/19,17.83,6.36,16.8,4,0,
4,Umar Gul (PAK),2007-2016,60,60,200.3,2,1443,85,5/6,16.97,7.19,14.1,4,2,
5,Rashid Khan (AFG/ICC),2015-2019,45,45,171.0,1,1052,84,5/3,12.52,6.15,12.2,3,2,
6,GH Dockrell (IRE),2010-2019,73,69,221.2,1,1539,75,4/20,20.52,6.95,17.7,1,0,
7,TG Southee (NZ),2008-2019,66,64,233.3,2,1954,75,5/18,26.05,8.36,18.6,0,1,
8,Mohammad Nabi (AFG),2010-2019,75,75,256.4,5,1839,69,4/10,26.65,7.16,22.3,3,0,
9,KMDN Kulasekara (SL),2008-2017,58,58,205.1,6,1530,66,4/31,23.18,7.45,18.6,2,0,
10,BAW Mendis (SL),2008-2014,39,39,147.3,5,952,66,6/8,14.42,6.45,13.4,3,2,
11,SCJ Broad (ENG),2006-2014,56,55,195.3,2,1491,65,4/24,22.93,7.62,18.0,1,0,
12,Imran Tahir (SA/World),2013-2019,38,38,140.5,0,948,63,5/23,15.04,6.73,13.4,2,2,
13,DW Steyn (SA),2007-2019,44,44,157.1,3,1068,61,4/9,17.5,6.79,15.4,2,0,
14,Mohammad Amir (PAK),2009-2019,48,48,175.4,5,1224,59,4/13,20.74,6.96,17.8,1,0,
15,NL McCullum (NZ),2007-2016,63,59,187.1,0,1278,58,4/16,22.03,6.82,19.3,2,0,
16,KJ O'Brien (IRE),2008-2019,90,51,150.3,0,1134,58,4/45,19.55,7.53,15.5,1,0,
17,S Badree (WI/World),2012-2018,52,52,191.0,4,1180,56,4/15,21.07,6.17,20.4,1,0,
18,CJ Jordan (ENG),2014-2019,43,43,151.3,0,1300,54,4/6,24.07,8.58,16.8,2,0,
19,Mohammad Hafeez (PAK),2006-2018,89,67,186.1,2,1226,54,4/10,22.7,6.58,20.6,1,0,
20,Sohail Tanvir (PAK),2007-2017,57,57,202.2,3,1454,54,3/12,26.92,7.18,22.4,0,0,
21,RE van der Merwe (NL/SA),2009-2019,43,42,149.1,1,938,54,4/35,17.37,6.28,16.5,1,0,
22,WB Rankin (ENG/IRE),2009-2019,48,47,170.0,2,1138,53,3/16,21.47,6.69,19.2,0,0,
23,PM Seelaar (NL),2008-2019,69,58,172.3,3,1190,53,4/19,22.45,6.89,19.5,1,0,
24,R Ashwin (INDIA),2010-2017,46,46,171.0,2,1193,52,4/8,22.94,6.97,19.7,2,0,
25,DJ Bravo (WI),2006-2016,66,56,173.4,0,1470,52,4/28,28.26,8.46,20.0,2,0,
26,YS Chahal (INDIA),2016-2019,36,36,140.3,1,1139,52,6/25,21.9,8.1,16.2,2,1,
27,Mustafizur Rahman (BDESH),2015-2019,37,37,135.1,3,1065,52,5/22,20.48,7.87,15.5,1,1,
28,SP Narine (WI),2012-2019,51,49,183.4,1,1105,52,4/12,21.25,6.01,21.1,1,0,
29,JJ Bumrah (INDIA),2016-2019,42,42,153.1,5,1029,51,3/11,20.17,6.71,18.0,0,0,
