result,margin,match,home_away,ground,match_date,match_month,match_year,match_period,matches,country
Lost,5 wickets,Sri Lanka v England,Away,Dambulla,2001-03-23,Mar,2001,Mar 2001,1,England
Lost,66 runs,Sri Lanka v England,Away,Colombo (RPS),2001-03-25,Mar,2001,Mar 2001,1,England
Lost,10 wickets,Sri Lanka v England,Away,Colombo (SSC),2001-03-27,Mar,2001,Mar 2001,1,England
Lost,108 runs,England v Pakistan,Home,Birmingham,2001-06-07,Jun,2001,Jun 2001,1,England
Lost,5 wickets,England v Australia,Home,Bristol,2001-06-10,Jun,2001,Jun 2001,1,England
Lost,2 runs,England v Pakistan,Home,Lord's,2001-06-12,Jun,2001,Jun 2001,1,England
Lost,125 runs,England v Australia,Home,Manchester,2001-06-14,Jun,2001,Jun 2001,1,England
Lost,,England v Pakistan,Home,Leeds,2001-06-17,Jun,2001,Jun 2001,1,England
Lost,8 wickets,England v Australia,Home,The Oval,2001-06-21,Jun,2001,Jun 2001,1,England
Won,5 wickets,Zimbabwe v England,Away,Harare,2001-10-03,Oct,2001,Oct 2001,1,England
Won,8 wickets,Zimbabwe v England,Away,Harare,2001-10-06,Oct,2001,Oct 2001,1,England
Won,4 wickets,Zimbabwe v England,Away,Harare,2001-10-07,Oct,2001,Oct 2001,1,England
Won,70 runs,Zimbabwe v England,Away,Bulawayo,2001-10-10,Oct,2001,Oct 2001,1,England
Won,7 wickets,Zimbabwe v England,Away,Bulawayo,2001-10-13,Oct,2001,Oct 2001,1,England
Lost,22 runs,India v England,Away,Kolkata,2002-01-19,Jan,2002,Jan 2002,1,England
Won,16 runs,India v England,Away,Cuttack,2002-01-22,Jan,2002,Jan 2002,1,England
Lost,4 wickets,India v England,Away,Chennai,2002-01-25,Jan,2002,Jan 2002,1,England
Lost,8 wickets,India v England,Away,Kanpur,2002-01-28,Jan,2002,Jan 2002,1,England
Won,2 runs,India v England,Away,Delhi,2002-01-31,Jan,2002,Jan 2002,1,England
Won,5 runs,India v England,Away,Mumbai,2002-02-03,Feb,2002,Feb 2002,1,England
Lost,4 wickets,New Zealand v England,Away,Christchurch,2002-02-13,Feb,2002,Feb 2002,1,England
Lost,155 runs,New Zealand v England,Away,Wellington,2002-02-16,Feb,2002,Feb 2002,1,England
Won,43 runs,New Zealand v England,Away,Napier,2002-02-20,Feb,2002,Feb 2002,1,England
Won,33 runs,New Zealand v England,Away,Auckland,2002-02-23,Feb,2002,Feb 2002,1,England
Lost,5 wickets,New Zealand v England,Away,Dunedin,2002-02-26,Feb,2002,Feb 2002,1,England
Won,44 runs,England v Sri Lanka,Home,Nottingham,2002-06-27,Jun,2002,Jun 2002,1,England
Lost,6 wickets,England v India,Home,Lord's,2002-06-29,Jun,2002,Jun 2002,1,England
Won,3 wickets,England v Sri Lanka,Home,Leeds,2002-07-02,Jul,2002,Jul 2002,1,England
N/R,-,England v India,Home,Chester-le-Street,2002-07-04,Jul,2002,Jul 2002,1,England
Lost,23 runs,England v Sri Lanka,Home,Manchester,2002-07-07,Jul,2002,Jul 2002,1,England
Won,64 runs,England v India,Home,The Oval,2002-07-09,Jul,2002,Jul 2002,1,England
Lost,2 wickets,England v India,Home,Lord's,2002-07-13,Jul,2002,Jul 2002,1,England
Won,108 runs,England v Zimbabwe,Home,Colombo (RPS),2002-09-18,Sep,2002,Sep 2002,1,England
Lost,8 wickets,England v India,Home,Colombo (RPS),2002-09-22,Sep,2002,Sep 2002,1,England
Lost,7 wickets,Australia v England,Away,Sydney,2002-12-13,Dec,2002,Dec 2002,1,England
Lost,89 runs,Australia v England,Away,Melbourne,2002-12-15,Dec,2002,Dec 2002,1,England
Won,43 runs,England v Sri Lanka,Home,Brisbane,2002-12-17,Dec,2002,Dec 2002,1,England
Won,95 runs,England v Sri Lanka,Home,Perth,2002-12-20,Dec,2002,Dec 2002,1,England
Lost,7 runs,Australia v England,Away,Hobart,2003-01-11,Jan,2003,Jan 2003,1,England
Lost,31 runs,England v Sri Lanka,Home,Sydney,2003-01-13,Jan,2003,Jan 2003,1,England
Won,19 runs,England v Sri Lanka,Home,Adelaide,2003-01-17,Jan,2003,Jan 2003,1,England
Lost,4 wickets,Australia v England,Away,Adelaide,2003-01-19,Jan,2003,Jan 2003,1,England
Lost,10 wickets,Australia v England,Away,Sydney,2003-01-23,Jan,2003,Jan 2003,1,England
Lost,5 runs,Australia v England,Away,Melbourne,2003-01-25,Jan,2003,Jan 2003,1,England
Lost,,Zimbabwe v England,Away,Harare,2003-02-13,Feb,2003,Feb 2003,1,England
Won,6 wickets,England v Netherlands,Home,East London,2003-02-16,Feb,2003,Feb 2003,1,England
Won,55 runs,England v Namibia,Home,Port Elizabeth,2003-02-19,Feb,2003,Feb 2003,1,England
Won,112 runs,England v Pakistan,Home,Cape Town,2003-02-22,Feb,2003,Feb 2003,1,England
Lost,82 runs,England v India,Home,Durban,2003-02-26,Feb,2003,Feb 2003,1,England
Lost,2 wickets,Australia v England,Away,Port Elizabeth,2003-03-02,Mar,2003,Mar 2003,1,England
Lost,2 wickets,England v Pakistan,Home,Manchester,2003-06-17,Jun,2003,Jun 2003,1,England
Won,7 wickets,England v Pakistan,Home,The Oval,2003-06-20,Jun,2003,Jun 2003,1,England
Won,4 wickets,England v Pakistan,Home,Lord's,2003-06-22,Jun,2003,Jun 2003,1,England
Lost,4 wickets,England v Zimbabwe,Home,Nottingham,2003-06-26,Jun,2003,Jun 2003,1,England
Won,6 wickets,England v South Africa,Home,The Oval,2003-06-28,Jun,2003,Jun 2003,1,England
N/R,-,England v Zimbabwe,Home,Leeds,2003-07-01,Jul,2003,Jul 2003,1,England
Lost,7 wickets,England v South Africa,Home,Manchester,2003-07-03,Jul,2003,Jul 2003,1,England
Won,6 wickets,England v Zimbabwe,Home,Bristol,2003-07-06,Jul,2003,Jul 2003,1,England
Won,4 wickets,England v South Africa,Home,Birmingham,2003-07-08,Jul,2003,Jul 2003,1,England
Won,7 wickets,England v South Africa,Home,Lord's,2003-07-12,Jul,2003,Jul 2003,1,England
Won,7 wickets,Bangladesh v England,Away,Chattogram,2003-11-07,Nov,2003,Nov 2003,1,England
Won,7 wickets,Bangladesh v England,Away,Dhaka,2003-11-10,Nov,2003,Nov 2003,1,England
Won,7 wickets,Bangladesh v England,Away,Dhaka,2003-11-12,Nov,2003,Nov 2003,1,England
Lost,10 wickets,Sri Lanka v England,Away,Dambulla,2003-11-18,Nov,2003,Nov 2003,1,England
Aban,-,Sri Lanka v England,Away,Colombo (RPS),2003-11-21,Nov,2003,Nov 2003,1,England
Aban,-,Sri Lanka v England,Away,Colombo (RPS),2003-11-23,Nov,2003,Nov 2003,1,England
Won,2 wickets,West Indies v England,Away,Georgetown,2004-04-18,Apr,2004,Apr 2004,1,England
N/R,-,West Indies v England,Away,Port of Spain,2004-04-24,Apr,2004,Apr 2004,1,England
Aban,-,West Indies v England,Away,Port of Spain,2004-04-25,Apr,2004,Apr 2004,1,England
Aban,-,West Indies v England,Away,St George's,2004-04-28,Apr,2004,Apr 2004,1,England
Lost,5 wickets,West Indies v England,Away,Gros Islet,2004-05-01,May,2004,May 2004,1,England
Lost,4 wickets,West Indies v England,Away,Gros Islet,2004-05-02,May,2004,May 2004,1,England
Won,5 wickets,West Indies v England,Away,Bridgetown,2004-05-05,May,2004,May 2004,1,England
Aban,-,England v New Zealand,Home,Manchester,2004-06-24,Jun,2004,Jun 2004,1,England
Lost,7 wickets,England v West Indies,Home,Nottingham,2004-06-27,Jun,2004,Jun 2004,1,England
Lost,7 wickets,England v New Zealand,Home,Chester-le-Street,2004-06-29,Jun,2004,Jun 2004,1,England
Won,7 wickets,England v West Indies,Home,Leeds,2004-07-01,Jul,2004,Jul 2004,1,England
Lost,6 wickets,England v New Zealand,Home,Bristol,2004-07-04,Jul,2004,Jul 2004,1,England
Lost,7 wickets,England v West Indies,Home,Lord's,2004-07-06,Jul,2004,Jul 2004,1,England
Won,7 wickets,England v India,Home,Nottingham,2004-09-01,Sep,2004,Sep 2004,1,England
Won,70 runs,England v India,Home,The Oval,2004-09-03,Sep,2004,Sep 2004,1,England
Lost,23 runs,England v India,Home,Lord's,2004-09-05,Sep,2004,Sep 2004,1,England
Won,152 runs,England v Zimbabwe,Home,Birmingham,2004-09-10,Sep,2004,Sep 2004,1,England
Won,49 runs,England v Sri Lanka,Home,Southampton,2004-09-17,Sep,2004,Sep 2004,1,England
Won,6 wickets,England v Australia,Home,Birmingham,2004-09-21,Sep,2004,Sep 2004,1,England
Lost,2 wickets,England v West Indies,Home,The Oval,2004-09-25,Sep,2004,Sep 2004,1,England
