country,avg_runs_per_wicket_bowling,avg_runs_per_six_balls_bowling,number_of_team_innings_bowling,highest_team_score_bowling,lowest_completed_score_bowling
England,24.40,8.24,116,248,45
Australia,22.37,7.80,124,243,74
South Africa,21.45,7.90,121,236,80
West Indies,24.13,7.97,124,244,68
New Zealand,23.54,8.05,130,245,70
India,22.93,7.79,132,245,70
Pakistan,20.76,7.33,151,211,60
Sri Lanka,23.79,7.85,127,263,39
Zimbabwe,27.45,8.22,76,229,75
Bermuda,26.19,7.52,15,206,114
Netherlands,20.34,7.27,72,252,69
Bangladesh,25.74,8.03,94,224,72
Kenya,19.64,6.97,38,260,88
Namibia,14.22,5.93,16,197,46
Ireland,21.26,7.68,94,278,53
Scotland,21.78,7.77,62,211,78
Afghanistan,21.14,7.43,81,225,56
