,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
0,SR Tendulkar (INDIA),1989-2012,463,452,41,18426,200*,44.83,21368,86.23,49,96,20,2016,195
1,V Kohli (INDIA),2008-2021,254,245,39,12169,183,59.07,13061,93.17,43,62,13,1140,125
2,RT Ponting (AUS/ICC),1995-2012,375,365,39,13704,164,42.03,17046,80.39,30,82,20,1231,162
3,RG Sharma (INDIA),2007-2021,227,220,32,9205,264,48.96,10354,88.9,29,43,13,832,244
4,ST Jayasuriya (Asia/SL),1989-2011,445,433,18,13430,189,32.36,14725,91.2,28,68,34,1500,270
5,HM Amla (SA),2008-2019,181,178,14,8113,159,49.46,9178,88.39,27,39,4,822,53
6,AB de Villiers (Afr/SA),2005-2018,228,218,39,9577,176,53.5,9473,101.09,25,53,7,840,204
7,CH Gayle (ICC/WI),1999-2019,301,294,17,10480,215,37.83,12019,87.19,25,54,25,1128,331
8,KC Sangakkara (Asia/ICC/SL),2000-2015,404,380,41,14234,169,41.98,18048,78.86,25,93,15,1385,88
9,SC Ganguly (Asia/INDIA),1992-2007,311,300,23,11363,183,41.02,15416,73.7,22,72,16,1122,190
10,TM Dilshan (SL),1999-2016,330,303,41,10290,161*,39.27,11933,86.23,22,47,11,1111,55
11,LRPL Taylor (NZ),2006-2021,233,217,39,8581,181*,48.2,10287,83.41,21,51,9,712,146
12,HH Gibbs (SA),1996-2010,248,240,16,8094,175,36.13,9721,83.26,21,37,22,930,128
13,Saeed Anwar (PAK),1989-2003,247,244,19,8824,194,39.21,10938,80.67,20,43,15,938,97
14,BC Lara (ICC/WI),1990-2007,299,289,32,10405,169,40.48,13086,79.51,19,63,16,1042,133
15,DPMD Jayawardene (Asia/SL),1998-2015,448,418,39,12650,144,33.37,16020,78.96,19,77,28,1119,76
16,DA Warner (AUS),2009-2020,128,126,6,5455,179,45.45,5710,95.53,18,23,2,571,85
17,ME Waugh (AUS),1988-2002,244,236,20,8500,173,39.35,11053,76.9,18,50,16,651,57
18,AJ Finch (AUS),2013-2020,132,128,3,5232,153*,41.85,5917,88.42,17,29,11,518,126
19,S Dhawan (INDIA),2010-2021,145,142,8,6105,143,45.55,6509,93.79,17,33,5,763,72
20,DL Haynes (WI),1978-1994,238,237,28,8648,152*,41.37,13707,63.09,17,57,13,768+,53+
21,JH Kallis (Afr/ICC/SA),1996-2014,328,314,53,11579,139,44.36,15885,72.89,17,86,17,911,137
22,Q de Kock (SA),2013-2021,124,124,6,5355,178,45.38,5609,95.47,16,26,4,614,81
23,JE Root (ENG),2013-2021,152,142,23,6109,133*,51.33,7034,86.84,16,35,5,491,44
24,MJ Guptill (NZ),2009-2021,186,183,19,6927,237*,42.23,7896,87.72,16,37,15,702,181
25,NJ Astle (NZ),1995-2007,223,217,14,7090,145*,34.92,9760,72.64,16,41,19,720,86
26,AC Gilchrist (AUS/ICC),1996-2008,287,279,11,9619,172,35.89,9922,96.94,16,55,19,1162,149
27,WU Tharanga (Asia/SL),2005-2019,235,223,17,6951,174*,33.74,9155,75.92,15,37,17,798,52
28,V Sehwag (Asia/ICC/INDIA),1999-2013,251,245,9,8273,219,35.05,7929,104.33,15,38,14,1132,136
29,Mohammad Yousuf (Asia/PAK),1998-2010,288,273,40,9720,141*,41.71,12942,75.1,15,64,15,785,90
30,Babar Azam (PAK),2015-2021,83,81,11,3985,158,56.92,4449,89.57,14,17,3,360,41
31,Tamim Iqbal (BAN),2007-2021,219,217,9,7666,158,36.85,9753,78.6,14,51,19,831,98
32,EJG Morgan (ENG/IRE),2006-2021,246,228,34,7701,148,39.69,8439,91.25,14,47,16,654,220
