,Series/Tournament,Season,Unnamed: 2,Winner,Margin
0,England in Australia ODI Match,1970/71,,Australia,1-0 (1)
1,Prudential Trophy (Australia in England),1972,,England,2-1 (3)
2,Pakistan in New Zealand ODI Match,1972/73,,New Zealand,1-0 (1)
3,Prudential Trophy (New Zealand in England),1973,,England,1-0 (2)
4,Prudential Trophy (West Indies in England),1973,,West Indies,1-1 (2)
5,Australia in New Zealand ODI Series,1973/74,,Australia,2-0 (2)
6,Prudential Trophy (India in England),1974,,England,2-0 (2)
7,Prudential Trophy (Pakistan in England),1974,,Pakistan,2-0 (2)
8,England in Australia ODI Match,1974/75,,England,1-0 (1)
9,England in New Zealand ODI Series,1974/75,,drawn,0-0 (2)
10,Prudential World Cup (in England),1975,,West Indies,
11,West Indies in Australia ODI Match,1975/76,,Australia,1-0 (1)
12,India in New Zealand ODI Series,1975/76,,New Zealand,2-0 (2)
13,Prudential Trophy (West Indies in England),1976,,West Indies,3-0 (3)
14,New Zealand in Pakistan ODI Match,1976/77,,New Zealand,1-0 (1)
15,Pakistan in West Indies ODI Match,1976/77,,West Indies,1-0 (1)
16,Prudential Trophy (Australia in England),1977,,England,2-1 (3)
17,England in Pakistan ODI Series,1977/78,,England,2-1 (3)
18,Australia in West Indies ODI Series,1977/78,,drawn,1-1 (2)
19,Prudential Trophy (Pakistan in England),1978,,England,2-0 (2)
20,Prudential Trophy (New Zealand in England),1978,,England,2-0 (2)
21,India in Pakistan ODI Series,1978/79,,Pakistan,2-1 (3)
22,England in Australia ODI Series,1978/79,,Australia,2-1 (5)
23,Prudential World Cup (in England),1979,,West Indies,
24,"Benson & Hedges World Series Cup (Australia, England, West Indies in Australia)",1979/80,,West Indies,
25,West Indies in New Zealand ODI Match,1979/80,,New Zealand,1-0 (1)
26,Prudential Trophy (West Indies in England),1980,,West Indies,1-1 (2)
27,Prudential Trophy (Australia in England),1980,,England,2-0 (2)
28,West Indies in Pakistan ODI Series,1980/81,,West Indies,3-0 (3)
29,"Benson & Hedges World Series Cup (Australia, India, New Zealand in Australia)",1980/81,,Australia,
30,India in New Zealand ODI Series,1980/81,,New Zealand,2-0 (2)
31,England in West Indies ODI Series,1980/81,,West Indies,2-0 (2)
32,Prudential Trophy (Australia in England),1981,,Australia,2-1 (3)
33,"Benson & Hedges World Series Cup (Australia, Pakistan, West Indies in Australia)",1981/82,,West Indies,
34,England in India ODI Series,1981/82,,India,2-1 (3)
