,Series/Tournament,Season,Unnamed: 2,Winner,Margin
0,England in Australia Test Series,1876/77,,drawn,1-1 (2)
1,England in Australia Test Match,1878/79,,Australia,1-0 (1)
2,Australia in England Test Match,1880,,England,1-0 (1)
3,England in Australia Test Series,1881/82,,Australia,2-0 (4)
4,Australia in England Test Match,1882,,Australia,1-0 (1)
5,The Ashes (England in Australia),1882/83,,England,2-1 (3)
6,England in Australia Test Match,1882/83,,Australia,1-0 (1)
7,The Ashes (Australia in England),1884,,England,1-0 (3)
8,The Ashes (England in Australia),1884/85,,England,3-2 (5)
9,The Ashes (Australia in England),1886,,England,3-0 (3)
10,The Ashes (England in Australia),1886/87,,England,2-0 (2)
11,The Ashes (England in Australia),1887/88,,England,1-0 (1)
12,The Ashes (Australia in England),1888,,England,2-1 (3)
13,England in South Africa Test Series,1888/89,,England,2-0 (2)
14,The Ashes (Australia in England),1890,,England,2-0 (2)
15,England in South Africa Test Match,1891/92,,England,1-0 (1)
16,The Ashes (England in Australia),1891/92,,Australia,2-1 (3)
17,The Ashes (Australia in England),1893,,England,1-0 (3)
18,The Ashes (England in Australia),1894/95,,England,3-2 (5)
19,England in South Africa Test Series,1895/96,,England,3-0 (3)
20,The Ashes (Australia in England),1896,,England,2-1 (3)
21,The Ashes (England in Australia),1897/98,,Australia,4-1 (5)
22,England in South Africa Test Series,1898/99,,England,2-0 (2)
23,The Ashes (Australia in England),1899,,Australia,1-0 (5)
24,The Ashes (England in Australia),1901/02,,Australia,4-1 (5)
25,The Ashes (Australia in England),1902,,Australia,2-1 (5)
26,Australia in South Africa Test Series,1902/03,,Australia,2-0 (3)
27,The Ashes (England in Australia),1903/04,,England,3-2 (5)
28,The Ashes (Australia in England),1905,,England,2-0 (5)
29,England in South Africa Test Series,1905/06,,South Africa,4-1 (5)
30,South Africa in England Test Series,1907,,England,1-0 (3)
31,The Ashes (England in Australia),1907/08,,Australia,4-1 (5)
32,The Ashes (Australia in England),1909,,Australia,2-1 (5)
33,England in South Africa Test Series,1909/10,,South Africa,3-2 (5)
34,South Africa in Australia Test Series,1910/11,,Australia,4-1 (5)
35,The Ashes (England in Australia),1911/12,,England,4-1 (5)
36,Australia v South Africa Test Series (in England),1912,,Australia,2-0 (3)
37,South Africa in England Test Series,1912,,England,3-0 (3)
38,The Ashes (Australia in England),1912,,England,1-0 (3)
39,"Triangular Tournament (Australia, England, South Africa in England)",1912,,England,
40,England in South Africa Test Series,1913/14,,England,4-0 (5)
41,The Ashes (England in Australia),1920/21,,Australia,5-0 (5)
42,The Ashes (Australia in England),1921,,Australia,3-0 (5)
43,Australia in South Africa Test Series,1921/22,,Australia,1-0 (3)
44,England in South Africa Test Series,1922/23,,England,2-1 (5)
45,South Africa in England Test Series,1924,,England,3-0 (5)
46,The Ashes (England in Australia),1924/25,,Australia,4-1 (5)
47,The Ashes (Australia in England),1926,,England,1-0 (5)
48,England in South Africa Test Series,1927/28,,drawn,2-2 (5)
49,West Indies in England Test Series,1928,,England,3-0 (3)
50,The Ashes (England in Australia),1928/29,,England,4-1 (5)
51,South Africa in England Test Series,1929,,England,2-0 (5)
52,England in New Zealand Test Series,1929/30,,England,1-0 (4)
53,England in West Indies Test Series,1929/30,,drawn,1-1 (4)
54,The Ashes (Australia in England),1930,,Australia,2-1 (5)
55,England in South Africa Test Series,1930/31,,South Africa,1-0 (5)
56,West Indies in Australia Test Series,1930/31,,Australia,4-1 (5)
57,New Zealand in England Test Series,1931,,England,1-0 (3)
58,South Africa in Australia Test Series,1931/32,,Australia,5-0 (5)
59,South Africa in New Zealand Test Series,1931/32,,South Africa,2-0 (2)
60,India in England Test Match,1932,,England,1-0 (1)
61,The Ashes (England in Australia),1932/33,,England,4-1 (5)
62,England in New Zealand Test Series,1932/33,,drawn,0-0 (2)
63,West Indies in England Test Series,1933,,England,2-0 (3)
64,England in India Test Series,1933/34,,England,2-0 (3)
65,The Ashes (Australia in England),1934,,Australia,2-1 (5)
66,England in West Indies Test Series,1934/35,,West Indies,2-1 (4)
67,South Africa in England Test Series,1935,,South Africa,1-0 (5)
68,Australia in South Africa Test Series,1935/36,,Australia,4-0 (5)
69,India in England Test Series,1936,,England,2-0 (3)
70,The Ashes (England in Australia),1936/37,,Australia,3-2 (5)
71,New Zealand in England Test Series,1937,,England,1-0 (3)
72,The Ashes (Australia in England),1938,,drawn,1-1 (4)
73,England in South Africa Test Series,1938/39,,England,1-0 (5)
74,West Indies in England Test Series,1939,,England,1-0 (3)
75,Australia in New Zealand Test Match,1945/46,,Australia,1-0 (1)
76,India in England Test Series,1946,,England,1-0 (3)
77,The Ashes (England in Australia),1946/47,,Australia,3-0 (5)
78,England in New Zealand Test Match,1946/47,,drawn,0-0 (1)
79,South Africa in England Test Series,1947,,England,3-0 (5)
80,India in Australia Test Series,1947/48,,Australia,4-0 (5)
81,England in West Indies Test Series,1947/48,,West Indies,2-0 (4)
82,The Ashes (Australia in England),1948,,Australia,4-0 (5)
83,West Indies in India Test Series,1948/49,,West Indies,1-0 (5)
84,England in South Africa Test Series,1948/49,,England,2-0 (5)
85,New Zealand in England Test Series,1949,,drawn,0-0 (4)
86,Australia in South Africa Test Series,1949/50,,Australia,4-0 (5)
87,West Indies in England Test Series,1950,,West Indies,3-1 (4)
88,The Ashes (England in Australia),1950/51,,Australia,4-1 (5)
89,England in New Zealand Test Series,1950/51,,England,1-0 (2)
90,South Africa in England Test Series,1951,,England,3-1 (5)
91,West Indies in Australia Test Series,1951/52,,Australia,4-1 (5)
92,England in India Test Series,1951/52,,drawn,1-1 (5)
93,West Indies in New Zealand Test Series,1951/52,,West Indies,1-0 (2)
94,India in England Test Series,1952,,England,3-0 (4)
95,Pakistan in India Test Series,1952/53,,India,2-1 (5)
96,South Africa in Australia Test Series,1952/53,,drawn,2-2 (5)
97,South Africa in New Zealand Test Series,1952/53,,South Africa,1-0 (2)
98,India in West Indies Test Series,1952/53,,West Indies,1-0 (5)
99,The Ashes (Australia in England),1953,,England,1-0 (5)
100,New Zealand in South Africa Test Series,1953/54,,South Africa,4-0 (5)
101,England in West Indies Test Series,1953/54,,drawn,2-2 (5)
102,Pakistan in England Test Series,1954,,drawn,1-1 (4)
103,India in Pakistan Test Series,1954/55,,drawn,0-0 (5)
104,The Ashes (England in Australia),1954/55,,England,3-1 (5)
105,England in New Zealand Test Series,1954/55,,England,2-0 (2)
106,Australia in West Indies Test Series,1955,,Australia,3-0 (5)
107,South Africa in England Test Series,1955,,England,3-2 (5)
108,New Zealand in Pakistan Test Series,1955/56,,Pakistan,2-0 (3)
109,New Zealand in India Test Series,1955/56,,India,2-0 (5)
110,West Indies in New Zealand Test Series,1955/56,,West Indies,3-1 (4)
111,The Ashes (Australia in England),1956,,England,2-1 (5)
112,Australia in Pakistan Test Match,1956/57,,Pakistan,1-0 (1)
113,Australia in India Test Series,1956/57,,Australia,2-0 (3)
114,England in South Africa Test Series,1956/57,,drawn,2-2 (5)
115,West Indies in England Test Series,1957,,England,3-0 (5)
116,Australia in South Africa Test Series,1957/58,,Australia,3-0 (5)
117,Pakistan in West Indies Test Series,1957/58,,West Indies,3-1 (5)
118,New Zealand in England Test Series,1958,,England,4-0 (5)
119,West Indies in India Test Series,1958/59,,West Indies,3-0 (5)
120,The Ashes (England in Australia),1958/59,,Australia,4-0 (5)
121,England in New Zealand Test Series,1958/59,,England,1-0 (2)
122,West Indies in Pakistan Test Series,1958/59,,Pakistan,2-1 (3)
123,India in England Test Series,1959,,England,5-0 (5)
124,Australia in Pakistan Test Series,1959/60,,Australia,2-0 (3)
125,Australia in India Test Series,1959/60,,Australia,2-1 (5)
126,England in West Indies Test Series,1959/60,,England,1-0 (5)
127,South Africa in England Test Series,1960,,England,3-0 (5)
128,Pakistan in India Test Series,1960/61,,drawn,0-0 (5)
129,The Frank Worrell Trophy (West Indies in Australia),1960/61,,Australia,2-1 (5)
130,The Ashes (Australia in England),1961,,Australia,2-1 (5)
131,England in India Test Series,1961/62,,India,2-0 (5)
132,England in Pakistan Test Series,1961/62,,England,1-0 (3)
133,New Zealand in South Africa Test Series,1961/62,,drawn,2-2 (5)
134,India in West Indies Test Series,1961/62,,West Indies,5-0 (5)
135,Pakistan in England Test Series,1962,,England,4-0 (5)
136,The Ashes (England in Australia),1962/63,,drawn,1-1 (5)
137,England in New Zealand Test Series,1962/63,,England,3-0 (3)
138,The Wisden Trophy (West Indies in England),1963,,West Indies,3-1 (5)
