,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
0,MJ Guptill (NZ),2009-2021,112,108,7,3299,105,32.66,2413,136.71,2,20,3,287,165
1,V Kohli (INDIA),2010-2021,95,87,25,3227,94*,52.04,2340,137.9,0,29,3,290,91
2,RG Sharma (INDIA),2007-2021,119,111,15,3197,118,33.3,2279,140.28,4,26,7,284,150
3,Babar Azam (PAK),2016-2021,73,68,10,2620,122,45.17,2029,129.12,1,25,3,272,40
4,AJ Finch (AUS),2011-2021,83,83,10,2608,172,35.72,1762,148.01,2,15,7,261,113
5,PR Stirling (IRE),2009-2021,92,91,8,2570,115*,30.96,1889,136.05,1,19,9,295,89
6,DA Warner (AUS),2009-2021,88,88,10,2554,100*,32.74,1818,140.48,1,21,6,250,99
7,Mohammad Hafeez (PAK),2006-2021,119,108,13,2514,99*,26.46,2060,122.03,0,14,7,251,76
8,Shoaib Malik (ICC/PAK),2006-2021,124,111,33,2435,75,31.21,1938,125.64,0,9,2,196,69
9,EJG Morgan (ENG),2009-2021,113,105,21,2428,91,28.9,1764,137.64,0,14,3,184,119
10,BB McCullum (NZ),2005-2015,71,70,10,2140,123,35.66,1571,136.21,2,13,3,199,91
11,JC Buttler (ENG),2011-2021,88,80,18,2140,101*,34.51,1516,141.16,1,15,4,184,90
12,KS Williamson (NZ),2011-2021,74,72,10,2021,95,32.59,1630,123.98,0,14,4,202,46
13,Mohammad Shahzad (AFG),2010-2021,70,70,3,2015,118*,30.07,1508,133.62,1,12,4,225,75
14,KJ O'Brien (IRE),2008-2021,110,103,10,1973,124,21.21,1507,130.92,1,5,12,165,82
15,Mahmudullah (BAN),2007-2021,113,105,23,1971,64*,24.03,1672,117.88,0,6,4,152,60
16,JP Duminy (SA),2007-2019,81,75,25,1934,96*,38.68,1532,126.24,0,11,6,138,71
17,LRPL Taylor (NZ),2006-2020,102,94,21,1909,63,26.15,1560,122.37,0,7,6,121,71
18,CH Gayle (WI),2006-2021,79,75,7,1899,117,27.92,1381,137.5,2,14,4,158,124
19,Shakib Al Hasan (BAN),2006-2021,94,93,10,1894,84,22.81,1572,120.48,0,9,6,193,38
20,TM Dilshan (SL),2006-2016,80,79,12,1889,104*,28.19,1567,120.54,1,13,10,223,33
21,GJ Maxwell (AUS),2012-2021,79,72,12,1844,145*,30.73,1184,155.74,3,9,1,153,94
22,KL Rahul (INDIA),2016-2021,56,52,7,1831,110*,40.68,1285,142.49,2,16,4,164,73
23,Q de Kock (SA),2012-2021,61,61,7,1827,79*,33.83,1353,135.03,0,11,3,189,65
24,DA Miller (SA/World),2010-2021,95,83,27,1786,101*,31.89,1270,140.62,1,4,0,119,79
25,S Dhawan (INDIA),2011-2021,68,66,3,1759,92,27.92,1392,126.36,0,11,2,191,50
26,Tamim Iqbal (BAN/ICC/World),2007-2020,78,78,5,1758,103*,24.08,1503,116.96,1,7,6,188,45
27,C Munro (NZ),2012-2020,65,62,7,1724,109*,31.34,1102,156.44,3,11,5,132,107
28,RD Berrington (SCOT),2008-2021,74,67,14,1694,100,31.96,1322,128.13,1,7,9,148,54
