,Series/Tournament,Season,Unnamed: 2,Winner,Margin
0,Australia in New Zealand T20I Match,2004/05,,Australia,1-0 (1)
1,Australia in England T20I Match,2005,,England,1-0 (1)
2,New Zealand in South Africa T20I Match,2005/06,,New Zealand,1-0 (1)
3,South Africa in Australia T20I Match,2005/06,,Australia,1-0 (1)
4,West Indies in New Zealand T20I Match,2005/06,,New Zealand,1-0 (1)
5,Australia in South Africa T20I Match,2005/06,,South Africa,1-0 (1)
6,Sri Lanka in England T20I Match,2006,,Sri Lanka,1-0 (1)
7,Pakistan in England T20I Match,2006,,Pakistan,1-0 (1)
8,Zimbabwe in Bangladesh T20I Match,2006/07,,Bangladesh,1-0 (1)
9,India in South Africa T20I Match,2006/07,,India,1-0 (1)
10,Sri Lanka in New Zealand T20I Series,2006/07,,drawn,1-1 (2)
11,England in Australia T20I Match,2006/07,,Australia,1-0 (1)
12,Pakistan in South Africa T20I Match,2006/07,,South Africa,1-0 (1)
13,West Indies in England T20I Series,2007,,drawn,1-1 (2)
14,"Twenty20 Quadrangular (in Kenya) (Bangladesh, Kenya, Pakistan, Uganda in Kenya)",2007/08,,none,
15,ICC World Twenty20 (in South Africa),2007/08,,India,
16,Australia in India T20I Match,2007/08,,India,1-0 (1)
17,New Zealand in South Africa T20I Match,2007/08,,South Africa,1-0 (1)
18,New Zealand in Australia T20I Match,2007/08,,Australia,1-0 (1)
19,West Indies in South Africa T20I Series,2007/08,,drawn,1-1 (2)
20,India in Australia T20I Match,2007/08,,Australia,1-0 (1)
21,England in New Zealand T20I Series,2007/08,,England,2-0 (2)
22,Bangladesh in Pakistan T20I Match,2007/08,,Pakistan,1-0 (1)
23,New Zealand in England T20I Match,2008,,England,1-0 (1)
24,Australia in West Indies T20I Match,2008,,West Indies,1-0 (1)
25,"ICC World Twenty20 Qualifier (Bermuda, Canada, Ireland, Kenya, Netherlands, Scotland in Ireland)",2008,,shared,
26,South Africa in England T20I Match,2008,,abandoned,0-0 (1)
27,T20 Canada (in Canada),2008/09,,Sri Lanka,
28,Bangladesh in South Africa T20I Match,2008/09,,South Africa,1-0 (1)
29,West Indies in New Zealand T20I Series,2008/09,,drawn,1-1 (2)
30,South Africa in Australia T20I Series,2008/09,,Australia,2-0 (2)
31,India in Sri Lanka T20I Match,2008/09,,India,1-0 (1)
32,New Zealand in Australia T20I Match,2008/09,,Australia,1-0 (1)
33,India in New Zealand T20I Series,2008/09,,New Zealand,2-0 (2)
34,England in West Indies T20I Match,2008/09,,West Indies,1-0 (1)
35,Australia in South Africa T20I Series,2008/09,,South Africa,2-0 (2)
36,Australia v Pakistan T20I Match (in United Arab Emirates),2009,,Pakistan,1-0 (1)
37,ICC World Twenty20 (in England),2009,,Pakistan,
38,Bangladesh in West Indies T20I Match,2009,,West Indies,1-0 (1)
39,Pakistan in Sri Lanka T20I Match,2009,,Pakistan,1-0 (1)
40,Australia in England T20I Series,2009,,drawn,0-0 (2)
41,New Zealand in Sri Lanka T20I Series,2009,,New Zealand,2-0 (2)
42,Pakistan v New Zealand T20I Series (in United Arab Emirates),2009/10,,Pakistan,2-0 (2)
43,England in South Africa T20I Series,2009/10,,drawn,1-1 (2)
44,Sri Lanka in India T20I Series,2009/10,,drawn,1-1 (2)
45,Bangladesh in New Zealand T20I Match,2009/10,,New Zealand,1-0 (1)
46,Kenya T20 Tri-Series,2009/10,,Kenya,
47,Sri Lanka Associates T20 Series,2009/10,,Sri Lanka A,
48,Pakistan in Australia T20I Match,2009/10,,Australia,1-0 (1)
49,ICC World Twenty20 Qualifier (in United Arab Emirates),2009/10,,Afghanistan,
50,Pakistan v England T20I Series (in United Arab Emirates),2009/10,,drawn,1-1 (2)
51,West Indies in Australia T20I Series,2009/10,,Australia,2-0 (2)
52,Australia in New Zealand T20I Series,2009/10,,drawn,1-1 (2)
53,Zimbabwe in West Indies T20I Match,2009/10,,Zimbabwe,1-0 (1)
54,ICC World Twenty20 (in West Indies),2010,,England,
55,South Africa in West Indies T20I Series,2010,,South Africa,2-0 (2)
56,New Zealand v Sri Lanka T20I Series (in United States of America),2010,,drawn,1-1 (2)
57,India in Zimbabwe T20I Series,2010,,India,2-0 (2)
58,"MCC Spirit of Cricket T20I Series (Australia, Pakistan in England)",2010,,Pakistan,2-0 (2)
59,Pakistan in England T20I Series,2010,,England,2-0 (2)
60,Zimbabwe in South Africa T20I Series,2010/11,,South Africa,2-0 (2)
61,Pakistan v South Africa T20I Series (in United Arab Emirates),2010/11,,South Africa,2-0 (2)
62,Sri Lanka in Australia T20I Match,2010/11,,Sri Lanka,1-0 (1)
63,Pakistan in New Zealand T20I Series,2010/11,,New Zealand,2-1 (3)
64,India in South Africa T20I Match,2010/11,,India,1-0 (1)
65,England in Australia T20I Series,2010/11,,drawn,1-1 (2)
66,Pakistan in West Indies T20I Match,2011,,West Indies,1-0 (1)
67,India in West Indies T20I Match,2011,,India,1-0 (1)
68,Sri Lanka in England T20I Match,2011,,Sri Lanka,1-0 (1)
69,Australia in Sri Lanka T20I Series,2011,,Sri Lanka,2-0 (2)
70,India in England T20I Match,2011,,England,1-0 (1)
71,Pakistan in Zimbabwe T20I Series,2011,,Pakistan,2-0 (2)
72,West Indies in England T20I Series,2011,,drawn,1-1 (2)
73,West Indies in Bangladesh T20I Match,2011/12,,Bangladesh,1-0 (1)
74,Australia in South Africa T20I Series,2011/12,,drawn,1-1 (2)
75,New Zealand in Zimbabwe T20I Series,2011/12,,New Zealand,2-0 (2)
76,England in India T20I Match,2011/12,,England,1-0 (1)
77,Pakistan v Sri Lanka T20I Match (in United Arab Emirates),2011/12,,Pakistan,1-0 (1)
78,Pakistan in Bangladesh T20I Match,2011/12,,Pakistan,1-0 (1)
79,India in Australia T20I Series,2011/12,,drawn,1-1 (2)
80,Zimbabwe in New Zealand T20I Series,2011/12,,New Zealand,2-0 (2)
81,South Africa in New Zealand T20I Series,2011/12,,South Africa,2-1 (3)
82,Ireland in Kenya T20I Series,2011/12,,Ireland,3-0 (3)
83,Pakistan v England T20I Series (in United Arab Emirates),2011/12,,England,2-1 (3)
84,ICC World Twenty20 Qualifier (in United Arab Emirates),2011/12,,Ireland,
85,Australia in West Indies T20I Series,2011/12,,drawn,1-1 (2)
86,India in South Africa T20I Match,2011/12,,South Africa,1-0 (1)
87,Pakistan in Sri Lanka T20I Series,2012,,drawn,1-1 (2)
88,West Indies in England T20I Match,2012,,England,1-0 (1)
89,New Zealand v West Indies T20I Series (in United States of America),2012,,West Indies,2-0 (2)
90,Bangladesh in Ireland T20I Series,2012,,Bangladesh,3-0 (3)
91,Bangladesh v Scotland T20I Match (in Netherlands),2012,,Scotland,1-0 (1)
92,Bangladesh in Netherlands T20I Series,2012,,drawn,1-1 (2)
93,India in Sri Lanka T20I Match,2012,,India,1-0 (1)
94,Pakistan v Australia T20I Series (in United Arab Emirates),2012,,Pakistan,2-1 (3)
95,New Zealand in India T20I Series,2012,,New Zealand,1-0 (2)
96,South Africa in England T20I Series,2012,,drawn,1-1 (3)
97,ICC World Twenty20 (in Sri Lanka),2012/13,,West Indies,
98,New Zealand in Sri Lanka T20I Match,2012/13,,drawn,0-0 (1)
99,West Indies in Bangladesh T20I Match,2012/13,,West Indies,1-0 (1)
100,England in India T20I Series,2012/13,,drawn,1-1 (2)
101,New Zealand in South Africa T20I Series,2012/13,,South Africa,2-1 (3)
102,Pakistan in India T20I Series,2012/13,,drawn,1-1 (2)
103,Sri Lanka in Australia T20I Series,2012/13,,Sri Lanka,2-0 (2)
104,West Indies in Australia T20I Match,2012/13,,West Indies,1-0 (1)
105,England in New Zealand T20I Series,2012/13,,England,2-1 (3)
106,Pakistan in South Africa T20I Series,2012/13,,Pakistan,1-0 (2)
107,Zimbabwe in West Indies T20I Series,2012/13,,West Indies,2-0 (2)
108,Afghanistan v Scotland T20I Series (in United Arab Emirates),2012/13,,Afghanistan,2-0 (2)
109,Canada v Kenya T20I Series (in United Arab Emirates),2012/13,,drawn,1-1 (2)
110,Bangladesh in Sri Lanka T20I Match,2012/13,,Sri Lanka,1-0 (1)
111,Kenya v Netherlands T20I Match (in Namibia),2013,,Kenya,1-0 (1)
112,"Twenty20 Quadrangular (in Namibia) (Kenya, Namibia, Netherlands, South Africa Emerging Players in Namibia)",2013,,Namibia,
113,Bangladesh in Zimbabwe T20I Series,2013,,drawn,1-1 (2)
114,New Zealand in England T20I Series,2013,,New Zealand,1-0 (2)
115,Kenya in Scotland T20I Series,2013,,Scotland,2-0 (2)
116,Pakistan in West Indies T20I Series,2013,,Pakistan,2-0 (2)
117,South Africa in Sri Lanka T20I Series,2013,,South Africa,2-1 (3)
118,Pakistan in Zimbabwe T20I Series,2013,,Pakistan,2-0 (2)
119,Australia in England T20I Series,2013,,drawn,1-1 (2)
120,India v Australia T20I Match (in India),2013/14,,India,1-0 (1)
121,Afghanistan v Kenya T20I Series (in United Arab Emirates),2013/14,,drawn,1-1 (2)
122,New Zealand in Bangladesh T20I Match,2013/14,,New Zealand,1-0 (1)
123,Pakistan v South Africa T20I Series (in United Arab Emirates),2013/14,,South Africa,2-0 (2)
124,New Zealand in Sri Lanka T20I Series,2013/14,,Sri Lanka,1-0 (2)
125,Pakistan in South Africa T20I Series,2013/14,,drawn,1-1 (2)
126,ICC World Twenty20 Qualifier (in United Arab Emirates),2013/14,,Ireland,
127,Afghanistan v Pakistan T20I Match (in United Arab Emirates),2013/14,,Pakistan,1-0 (1)
128,Pakistan v Sri Lanka T20I Series (in United Arab Emirates),2013/14,,drawn,1-1 (2)
129,West Indies in New Zealand T20I Series,2013/14,,New Zealand,2-0 (2)
130,England in Australia T20I Series,2013/14,,Australia,3-0 (3)
131,Sri Lanka in Bangladesh T20I Series,2013/14,,Sri Lanka,2-0 (2)
132,Ireland in West Indies T20I Series,2013/14,,drawn,1-1 (2)
133,England in West Indies T20I Series,2013/14,,West Indies,2-1 (3)
134,Australia in South Africa T20I Series,2013/14,,Australia,2-0 (3)
135,World T20 (in Bangladesh),2013/14,,Sri Lanka,
136,Sri Lanka in England T20I Match,2014,,Sri Lanka,1-0 (1)
137,New Zealand in West Indies T20I Series,2014,,drawn,1-1 (2)
138,Bangladesh in West Indies T20I Match,2014,,drawn,0-0 (1)
139,India in England T20I Match,2014,,England,1-0 (1)
140,Pakistan v Australia T20I Match (in United Arab Emirates),2014/15,,Australia,1-0 (1)
141,South Africa in Australia T20I Series,2014/15,,Australia,2-1 (3)
142,Hong Kong v Nepal T20I Series (in Sri Lanka),2014/15,,Hong Kong,1-0 (5)
143,Pakistan v New Zealand T20I Series (in United Arab Emirates),2014/15,,drawn,1-1 (2)
144,West Indies in South Africa T20I Series,2014/15,,West Indies,2-1 (3)
145,Pakistan in Bangladesh T20I Match,2015,,Bangladesh,1-0 (1)
146,Zimbabwe in Pakistan T20I Series,2015,,Pakistan,2-0 (2)
147,Scotland in Ireland T20I Series,2015,,Scotland,2-0 (4)
148,New Zealand in England T20I Match,2015,,England,1-0 (1)
149,Nepal in Netherlands T20I Series,2015,,Netherlands,3-1 (4)
150,South Africa in Bangladesh T20I Series,2015,,South Africa,2-0 (2)
151,India in Zimbabwe T20I Series,2015,,drawn,1-1 (2)
152,ICC World Twenty20 Qualifier (in Ireland/Scotland),2015,,shared,
153,Pakistan in Sri Lanka T20I Series,2015,,Pakistan,2-0 (2)
154,New Zealand in Zimbabwe T20I Match,2015,,New Zealand,1-0 (1)
155,New Zealand in South Africa T20I Series,2015,,drawn,1-1 (2)
156,Australia in England T20I Match,2015,,England,1-0 (1)
157,Pakistan in Zimbabwe T20I Series,2015/16,,Pakistan,2-0 (2)
158,South Africa in India T20I Series,2015/16,,South Africa,2-0 (3)
