innings_player,innings_runs_scored,innings_runs_scored_num,innings_minutes_batted,innings_batted_flag,innings_not_out_flag,innings_balls_faced,innings_boundary_fours,innings_boundary_sixes,innings_batting_strike_rate,innings_number,opposition,ground,innings_date,country,50s,100s,innings_runs_scored_buckets,innings_overs_bowled,innings_bowled_flag,innings_maidens_bowled,innings_runs_conceded,innings_wickets_taken,4_wickets,5_wickets,10_wickets,innings_wickets_taken_buckets,innings_economy_rate
CM Edwards,173*,173,186,1,1,155,19,0,111.61,1,v Ire Women,Pune,1997-12-16,England Women,0,1,150-199,,,,,,,,,,
BA Daniels,142*,142,130,1,1,103,18,1,137.86,1,v PAK Women,Vijayawada,1997-12-12,England Women,0,1,100-149,,,,,,,,,,
CM Edwards,139*,139,163,1,1,152,17,0,91.44,1,v Neth Women,Lincoln,2000-11-30,England Women,0,1,100-149,,,,,,,,,,
JA Brittin,138*,138,,1,1,,,,,1,v Int XI Women,Hamilton,1982-01-14,England Women,0,1,100-149,,,,,,,,,,
JA Brittin,138,138,150,1,0,124,17,0,111.29,1,v PAK Women,Vijayawada,1997-12-12,England Women,0,1,100-149,,,,,,,,,,
SC Taylor,137*,137,147,1,1,145,16,0,94.48,1,v SL Women,Lincoln,2000-12-12,England Women,0,1,100-149,,,,,,,,,,
DL Thomas,134,134,,1,0,,,,,1,v Int XI Women,Hove,1973-06-23,England Women,0,1,100-149,,,,,,,,,,
E Bakewell,118,118,,1,0,,,,,1,v AUS Women,Birmingham,1973-07-28,England Women,0,1,100-149,,,,,,,,,,
HC Plimmer,118,118,,1,0,,,,,1,v Ire Women,Reading,1993-07-24,England Women,0,1,100-149,,,,,,,,,,
R Heyhoe-Flint,114,114,,1,0,,,,,1,v Y. Eng Women,Ilford,1973-07-18,England Women,0,1,100-149,,,,,,,,,,
CA Hodges,113,113,,1,0,,,,,1,v Ire Women,Reading,1993-07-24,England Women,0,1,100-149,,,,,,,,,,
K Smithies,110*,110,,1,1,,,,,2,v India Women,Nottingham,1999-07-11,England Women,0,1,100-149,,,,,,,,,,
WA Watson,107*,107,179,1,1,168,0,0,63.69,1,v Ire Women,Northampton,1990-07-22,England Women,0,1,100-149,,,,,,,,,,
CA Hodges,105*,105,,1,1,,,,,1,v AUS Women,Guildford,1993-07-26,England Women,0,1,100-149,,,,,,,,,,
JA Brittin,104,104,,1,0,,,,,1,v Denmk Women,Banstead,1993-07-20,England Women,0,1,100-149,,,,,,,,,,
CM Edwards,102,102,,1,0,,,,,1,v SA Women,Taunton,1997-08-17,England Women,0,1,100-149,,,,,,,,,,
E Bakewell,101*,101,,1,1,,,,,1,v Int XI Women,Hove,1973-06-23,England Women,0,1,100-149,,,,,,,,,,
JA Brittin,101,101,148,1,0,,6,0,,1,v NZ Women,Hastings,1984-06-24,England Women,0,1,100-149,,,,,,,,,,
JA Brittin,100,100,,1,0,,,,,1,v India Women,Finchampstead,1993-07-25,England Women,0,1,100-149,,,,,,,,,,
J Powell,98*,98,132,1,1,103,16,0,95.14,1,v Denmk Women,Nottingham,1990-07-19,England Women,1,0,50-99,,,,,,,,,,
CM Edwards,96*,96,155,1,1,123,14,0,78.04,2,v SA Women,Taunton,2000-06-28,England Women,1,0,50-99,,,,,,,,,,
BA Daniels,95,95,120,1,0,129,15,0,73.64,2,v SA Women,Taunton,2000-06-28,England Women,1,0,50-99,,,,,,,,,,
WA Watson,93*,93,139,1,1,123,15,0,75.60,2,v Ire Women,Kirby Muxloe,1990-07-20,England Women,1,0,50-99,,,,,,,,,,
CA Hodges,91,91,,1,0,,,,,1,v Neth Women,Melbourne,1988-12-16,England Women,1,0,50-99,,,,,,,,,,
J Smit,91,91,180,1,0,147,6,0,61.90,1,v Neth Women,Dublin,1995-07-18,England Women,1,0,50-99,,,,,,,,,,
WA Watson,90*,90,198,1,1,151,6,0,59.60,1,v Denmk Women,Nykobing Mors,1989-07-20,England Women,1,0,50-99,,,,,,,,,,
JA Brittin,88*,88,193,1,1,148,12,0,59.45,2,v NZ Women,Leicester,1984-06-30,England Women,1,0,50-99,,,,,,,,,,
HC Plimmer,87,87,149,1,0,104,5,0,83.65,1,v Denmk Women,Hyderabad,1997-12-14,England Women,1,0,50-99,,,,,,,,,,
S Goatman,83,83,,1,0,,,,,1,v Int XI Women,Christchurch,1982-02-04,England Women,1,0,50-99,,,,,,,,,,
J Southgate,82,82,135,1,0,113,4,0,72.56,1,v NZ Women,Bristol,1984-07-21,England Women,1,0,50-99,,,,,,,,,,
JA Brittin,81,81,170,1,0,105,8,0,77.14,1,v India Women,Patna,1995-12-01,England Women,1,0,50-99,,,,,,,,,,
BA Daniels,79,79,113,1,0,108,9,0,73.14,1,v Neth Women,Lincoln,2000-11-30,England Women,1,0,50-99,,,,,,,,,,
HC Plimmer,77,77,,1,0,,,,,1,v Denmk Women,Banstead,1993-07-20,England Women,1,0,50-99,,,,,,,,,,
R Heyhoe-Flint,76,76,,1,0,,,,,2,v NZ Women,Auckland,1982-01-10,England Women,1,0,50-99,,,,,,,,,,
CM Edwards,75,75,145,1,0,119,5,0,63.02,2,v AUS Women,Hove,1998-07-18,England Women,1,0,50-99,,,,,,,,,,
BA Daniels,74,74,105,1,0,106,10,0,69.81,1,v SA Women,Canterbury,2000-06-25,England Women,1,0,50-99,,,,,,,,,,
JA Brittin,73,73,124,1,0,113,3,0,64.60,2,v AUS Women,Melbourne,1985-01-31,England Women,1,0,50-99,,,,,,,,,,
CM Edwards,72,72,50,1,0,55,13,0,130.90,1,v Denmk Women,Hyderabad,1997-12-14,England Women,1,0,50-99,,,,,,,,,,
DL Thomas,70,70,,1,0,,,,,1,v Jamaica Wmn,Bradford,1973-07-07,England Women,1,0,50-99,,,,,,,,,,
JA Brittin,69,69,154,1,0,127,1,0,54.33,1,v NZ Women,Bristol,1984-07-21,England Women,1,0,50-99,,,,,,,,,,
WA Watson,69,69,135,1,0,109,4,0,63.30,1,v Denmk Women,Haarlem,1991-07-20,England Women,1,0,50-99,,,,,,,,,,
JA Brittin,69,69,137,1,0,117,4,0,58.97,2,v AUS Women,Wellington,1992-01-18,England Women,1,0,50-99,,,,,,,,,,
JM Court,67,67,,1,0,,,,,2,v India Women,Leicester,1986-06-22,England Women,1,0,50-99,,,,,,,,,,
BA Daniels,66,66,,1,0,,,,,2,v NZ Women,Chester-le-Street,1996-06-18,England Women,1,0,50-99,,,,,,,,,,
R Heyhoe-Flint,64,64,,1,0,,,,,1,v AUS Women,Birmingham,1973-07-28,England Women,1,0,50-99,,,,,,,,,,
S Goatman,63*,63,,1,1,,,,,2,v Int XI Women,Wellington,1982-01-24,England Women,1,0,50-99,,,,,,,,,,
WA Watson,63*,63,,1,1,,,,,2,v Ire Women,Melbourne,1988-12-13,England Women,1,0,50-99,,,,,,,,,,
J Smit,63*,63,112,1,1,99,2,0,63.63,1,v SL Women,Lincoln,2000-12-12,England Women,1,0,50-99,,,,,,,,,,
K Smithies,62*,62,117,1,1,98,8,0,63.26,2,v AUS Women,Lord's,1998-07-21,England Women,1,0,50-99,,,,,,,,,,
CA Hodges,62,62,,1,0,,,,,1,v AUS Women,Melbourne,1988-12-11,England Women,1,0,50-99,,,,,,,,,,
R Heyhoe-Flint,61*,61,,1,1,,,,,1,v Int XI Women,Christchurch,1982-02-04,England Women,1,0,50-99,,,,,,,,,,
JA Brittin,61,61,,1,0,,,,,1,v AUS Women,Guildford,1993-07-26,England Women,1,0,50-99,,,,,,,,,,
BA Daniels,60*,60,,1,1,,,,,1,v Denmk Women,Banstead,1993-07-20,England Women,1,0,50-99,,,,,,,,,,
JA Brittin,60,60,,1,0,,,,,2,v NZ Women,Wellington,1982-01-27,England Women,1,0,50-99,,,,,,,,,,
SC Taylor,60,60,131,1,0,93,3,0,64.51,2,v India Women,Lincoln,2000-12-04,England Women,1,0,50-99,,,,,,,,,,
MA Lear,58,58,,1,0,,,,,1,v AUS Women,Christchurch,1982-02-02,England Women,1,0,50-99,,,,,,,,,,
CM Edwards,57*,57,82,1,1,65,7,0,87.69,2,v SL Women,Mohali,1997-12-21,England Women,1,0,50-99,,,,,,,,,,
K Lowe,57*,57,,1,1,,,,,1,v Denmk Women,Nykobing Mors,1999-07-20,England Women,1,0,50-99,,,,,,,,,,
E Bakewell,57,57,,1,0,,,,,1,v WI Women,Shireoaks,1979-07-07,England Women,1,0,50-99,,,,,,,,,,
WA Watson,57,57,,1,0,,,,,1,v Neth Women,Melbourne,1988-12-16,England Women,1,0,50-99,,,,,,,,,,
